Site.no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius,CharacteristicSpeciesComparisonSet
BYB16C6U,4161,Primary,346.45,1725.24,15.65,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB17C1S,4161,Primary,402.33,1781.97,15.35,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB18C2C,4161,Primary,360.27,1689.08,15.85,Dry Sclerophyll Forests (Shrubby sub-formation)
BYB19C2M,4161,Primary,336.44,1702.64,15.8,Dry Sclerophyll Forests (Shrubby sub-formation)
GHD14C7U,4161,Primary,141.33,1553.82,16.8,Dry Sclerophyll Forests (Shrubby sub-formation)
GHD15C8U,4161,Primary,185.43,1560.54,16.77,Dry Sclerophyll Forests (Shrubby sub-formation)
GHD16C6U,4161,Primary,190.82,1600.61,16.61,Dry Sclerophyll Forests (Shrubby sub-formation)
GHD17C6U,4161,Primary,207.73,1587.68,16.66,Dry Sclerophyll Forests (Shrubby sub-formation)
GHD18C7S,4161,Primary,144.76,1567.97,16.74,Dry Sclerophyll Forests (Shrubby sub-formation)
NEF4015,4161,Primary,380.4,1590.41,15.93,Dry Sclerophyll Forests (Shrubby sub-formation)
NEF4016,4161,Primary,540.78,1692.59,15.31,Dry Sclerophyll Forests (Shrubby sub-formation)
NEF4019,4161,Primary,273,1502.94,16.56,Dry Sclerophyll Forests (Shrubby sub-formation)
EBSF_SF_008,4162,Primary,95.08,747.86,16.33,Dry Sclerophyll Forests (Shrubby sub-formation)
EBSF_SF_009,4162,Primary,96.51,749.08,16.32,Dry Sclerophyll Forests (Shrubby sub-formation)
EBSF_SF_010,4162,Primary,94.16,747.27,16.33,Dry Sclerophyll Forests (Shrubby sub-formation)
MtGib01,4163,Primary,847.28,1153,11.88,Heathlands
MtGib02,4163,Primary,846.23,1124.85,12.01,Heathlands
WSCSD70,4163,Primary,847.99,1132.67,11.97,Heathlands
MCT282,4164,Secondary,1089.22,864.12,12.72,Freshwater Wetlands
MCT283,4164,Primary,1093.43,861.68,12.73,Freshwater Wetlands
MCT284,4164,Primary,1093.17,861.31,12.72,Freshwater Wetlands
MCT285,4164,Primary,1093.77,860.94,12.73,Freshwater Wetlands
TDWLRF1,3001,Primary,60.51,1463.5,18.79,Rainforests
TLRF2,3001,Primary,120.83,1774.8,18.34,Rainforests
BYR40B6U,3001,Primary,121.52,1854.96,19.11,Rainforests
BYR41B7U,3001,Primary,136.97,1864.68,19.05,Rainforests
DNN01B2C,3001,Primary,114.38,1665.49,18.8,Rainforests
DNN02B2M,3001,Primary,82.12,1671.06,18.77,Rainforests
DNN03B2F,3001,Primary,39.14,1656.02,18.94,Rainforests
DNN04B2L,3001,Primary,51.91,1669.87,18.81,Rainforests
DNN05B2M,3001,Primary,85.83,1665.18,18.85,Rainforests
DNN06B2C,3001,Primary,105.06,1665.17,18.81,Rainforests
DNN10B3C,3001,Primary,202.61,1856.47,17.85,Rainforests
DNN11B6F,3001,Primary,22.33,1600.13,19.18,Rainforests
DNN12B1F,3001,Primary,22.63,1602.32,19.17,Rainforests
DNN13B1F,3001,Primary,23.27,1599.85,19.17,Rainforests
DNN14B7F,3001,Primary,20.94,1601.2,19.13,Rainforests
LSM03B2C,3001,Primary,182.96,1673.99,18.2,Rainforests
LSM04B2C,3001,Primary,184.39,1675.94,18.19,Rainforests
LSM05A2F,3001,Primary,11.15,1420.51,19.13,Rainforests
LSM06B2C,3001,Primary,183,1674.34,18.21,Rainforests
LSM07B2L,3001,Primary,134.76,1738.08,18.41,Rainforests
LSM08B2L,3001,Primary,135.24,1741.82,18.39,Rainforests
LSM09A2F,3001,Primary,12.06,1418.16,19.14,Rainforests
LSM10A2F,3001,Primary,8.91,1421.48,19.11,Rainforests
LSM11A2F,3001,Primary,11.19,1423.62,19.12,Rainforests
LSM12B2U,3001,Primary,54.82,1373.92,19.04,Rainforests
LSM13B2U,3001,Primary,179.13,1693.06,18.23,Rainforests
LSM14B5S,3001,Primary,186.19,1693.03,18.25,Rainforests
LSM15A8F,3001,Primary,6.83,1349.78,19.12,Rainforests
WRD03B7C,3001,Primary,168.85,1653.22,18.58,Rainforests
WRD04B1U,3001,Primary,172.16,1652.81,18.58,Rainforests
WRD05B2U,3001,Primary,171.8,1638.55,18.65,Rainforests
WRD06B1U,3001,Primary,172.05,1644.95,18.62,Rainforests
BYR96B3U,3001,Primary,140.45,1901.14,18.88,Rainforests
BYR97B2M,3001,Primary,136.53,1889.71,18.92,Rainforests
BLN07B4M,3001,Primary,72.25,1752.28,18.93,Rainforests
BLN08B5M,3001,Primary,70.51,1733.89,19.04,Rainforests
BYR64B3U,3001,Primary,129.45,1868.06,18.99,Rainforests
BYR93B7M,3001,Primary,51.44,1760.6,19.19,Rainforests
BYR94B6L,3001,Primary,49.59,1759.66,19.19,Rainforests
BYR95B7U,3001,Primary,55.67,1762.08,19.17,Rainforests
DNN16B3U,3001,Primary,119.87,1725.6,18.71,Rainforests
DNN17B5L,3001,Primary,51.5,1607.7,19.1,Rainforests
DNN18B4L,3001,Primary,25.79,1595.49,19.11,Rainforests
DNN19B5L,3001,Primary,53.12,1609.4,19.11,Rainforests
DNN20B3L,3001,Primary,40.53,1612.41,18.93,Rainforests
DNN23B1L,3001,Primary,48.86,1664.29,19.08,Rainforests
DNN24B3M,3001,Primary,63.56,1643.6,19.18,Rainforests
DNN25B3M,3001,Primary,39.16,1654.42,19.06,Rainforests
DNN26B4U,3001,Primary,59.12,1648.13,19.12,Rainforests
DNN31B4M,3001,Primary,34.79,1552.25,19.15,Rainforests
DNN32B7M,3001,Primary,30.68,1553.26,19.15,Rainforests
DNN34J4L,3001,Secondary,61.62,1464.8,18.81,Rainforests
LSM27B1U,3001,Primary,160.16,1613.69,18.31,Rainforests
LSM28B3M,3001,Primary,162.46,1602.05,18.35,Rainforests
LSM29B8M,3001,Primary,157.89,1603.68,18.34,Rainforests
LSM30B7L,3001,Primary,133.89,1617,18.33,Rainforests
LSM31B1M,3001,Primary,95.87,1671.17,18.68,Rainforests
LSM32B3U,3001,Primary,103.66,1679.71,18.64,Rainforests
LSM33B7L,3001,Primary,115.14,1726.89,18.53,Rainforests
LSM34B2L,3001,Primary,106.5,1725.79,18.54,Rainforests
LSM35B3M,3001,Primary,49.15,1547.33,19.16,Rainforests
LSM36B3M,3001,Primary,50.35,1546.51,19.16,Rainforests
WRD17B7F,3001,Primary,173.63,1698.07,18.18,Rainforests
BALL02VB,3002,Primary,41.11,1747.51,19.46,Rainforests
BRU42VBR,3002,Secondary,0.09,1813.8,19.46,Rainforests
BLN01B2M,3002,Primary,61.1,1745.33,18.94,Rainforests
BLN02B4M,3002,Primary,35.04,1753.13,18.92,Rainforests
BLN03B2M,3002,Primary,25.93,1705.36,19.18,Rainforests
BLN04B3M,3002,Primary,49.88,1752.46,19.44,Rainforests
BLN06B5S,3002,Primary,37.72,1805.11,19.17,Rainforests
BUI18R5L,3002,Primary,119.41,1886.33,18.78,Rainforests
BWK08B7U,3002,Primary,23.71,1855.61,19.21,Rainforests
BYR51B7M,3002,Primary,64.13,1890.31,18.89,Rainforests
BYR53B1L,3002,Primary,19.66,1961.1,18.65,Rainforests
BYR63B5L,3002,Primary,49.53,1910.83,18.82,Rainforests
BYR72B2L,3002,Primary,43.78,1892.15,18.7,Rainforests
BYR73B6L,3002,Primary,43.85,1888.38,18.72,Rainforests
BYR74B2V,3002,Primary,114.53,1878.48,18.74,Rainforests
BYR75B2U,3002,Secondary,85.58,1804.35,19.22,Rainforests
BYR78B2M,3002,Primary,101,1739.07,18.87,Rainforests
BYR80B2L,3002,Primary,96.98,1733.48,18.89,Rainforests
DNN21B4M,3002,Primary,89.21,1651.06,19.04,Rainforests
DNN22B4M,3002,Primary,81.39,1639.5,19.09,Rainforests
DNN27B7M,3002,Primary,79.16,1651.87,19.01,Rainforests
DNN28B7U,3002,Primary,101.84,1681.66,18.84,Rainforests
DNN29B3L,3002,Primary,76.57,1699.43,18.89,Rainforests
DNN30B8M,3002,Primary,45.73,1679.69,19,Rainforests
DNN33B8V,3002,Primary,162.46,1833.55,18.38,Rainforests
DNN38B1L,3002,Secondary,92.87,1572.46,18.17,Rainforests
HNB33B5L,3002,Primary,170.18,1851.48,18.84,Rainforests
HNB38B5L,3002,Primary,159.37,1856.53,18.81,Rainforests
HNB44B2L,3002,Primary,149.57,2043.39,18.21,Rainforests
HNB45R3M,3002,Primary,172.69,1934.68,18.54,Rainforests
LSM20B8M,3002,Primary,48.76,1551.05,18.88,Rainforests
LSM21B4V,3002,Primary,49.91,1565.56,18.76,Rainforests
NMB07B6L,3002,Primary,226.15,1595.77,17.85,Rainforests
NMB08B1M,3002,Primary,237.02,1598.9,17.79,Rainforests
NMB10B3L,3002,Primary,222.4,1583.68,17.67,Rainforests
NMB16B7L,3002,Secondary,139.05,1809.12,17.74,Rainforests
PTV02J8M,3002,Primary,45.91,1895.46,19.14,Rainforests
NCT120-2,3002,Secondary,524.55,1703.8,17.9,Rainforests
NCRIC006,3003,Primary,314.13,1207.17,17.07,Rainforests
NCRIC007,3003,Primary,565.06,1402.11,15.79,Rainforests
NCRIC008,3003,Primary,528.16,1418.73,15.74,Rainforests
NCA00016,3003,Primary,601.16,1419,15.74,Rainforests
NCA00017,3003,Primary,594.86,1391.33,15.91,Rainforests
NCMEB003,3003,Primary,427.68,1813.99,16.4,Rainforests
UNE05068,3003,Primary,606.78,1309.54,16.13,Rainforests
BRC38B2U,3003,Primary,525.58,1398.06,16.96,Rainforests
BRC39B3S,3003,Primary,500.74,1404.06,16.97,Rainforests
BRC41B5S,3003,Primary,361.75,1349.62,17.54,Rainforests
MLI24B5S,3003,Secondary,825.98,1358.98,14.92,Rainforests
MLI25B3S,3003,Primary,785.64,1395.69,14.57,Rainforests
AFT36J5S,3003,Primary,415.01,1200.62,16.88,Rainforests
AFT37B4C,3003,Primary,432.63,1196.9,16.87,Rainforests
AFT38B4L,3003,Primary,394.89,1186.16,16.96,Rainforests
AFT39B5S,3003,Primary,389.45,1182.06,17.01,Rainforests
AFT40B7S,3003,Primary,382.36,1174.95,17.09,Rainforests
AFT41B6,3003,Primary,418.08,1200.08,16.87,Rainforests
CPE18I7S,3003,Primary,639.33,1351.9,15.8,Rainforests
CPE19I8S,3003,Primary,644.72,1358.9,15.76,Rainforests
CPE20I4S,3003,Primary,660.86,1407.36,15.47,Rainforests
GRV01B7F,3003,Primary,245.57,1084.12,17.6,Rainforests
GRV04B2F,3003,Primary,253.92,1085.59,17.58,Rainforests
MLI18B7M,3003,Primary,639.04,1388.37,15.37,Rainforests
MMM01B5U,3003,Primary,547.64,1385.58,16,Rainforests
TGB01B1U,3003,Primary,605.44,1406.73,15.84,Rainforests
TGB02B3U,3003,Primary,607.94,1438.3,15.61,Rainforests
TGB03B8U,3003,Primary,584.12,1435.09,15.63,Rainforests
TGB22B5L,3003,Primary,482.08,1323.96,16.25,Rainforests
WDN22R25,3003,Primary,514.64,1138.09,16.37,Rainforests
NCT125-2,3003,Secondary,612.98,1310.35,17.1,Rainforests
NEF2015,3003,Primary,536.12,1263.61,16.39,Rainforests
NEF2034,3003,Primary,440.06,1145.74,16.3,Rainforests
NRAC222,3003,Primary,589.78,1187.9,16.26,Rainforests
NRAC705,3003,Primary,379.55,1187.1,17.17,Rainforests
NRAC708,3003,Primary,351.42,1196.8,16.96,Rainforests
NRAC723,3003,Primary,201.19,1136.96,17.93,Rainforests
NRAC728,3003,Primary,219.36,1428.25,17.65,Rainforests
NRAC730,3003,Primary,236.15,1137.66,18.06,Rainforests
NRAC731,3003,Primary,232.48,1182,17.12,Rainforests
NRAC903,3003,Secondary,456.42,1391.52,17.36,Rainforests
CUT01-3,3003,Primary,842.66,1279.16,13.61,Rainforests
CUT07-2,3003,Primary,760.87,1261.89,15.01,Rainforests
CUT16-3,3003,Primary,603.85,1234.01,15.59,Rainforests
CUT28-3,3003,Primary,414.97,1208.5,16.97,Rainforests
CUTOO003,3003,Primary,387.94,1239.33,16.91,Rainforests
AFT05B5L,3003,Primary,389.3,1195.54,17.1,Rainforests
AFT07J3G,3003,Primary,297.3,1162.93,17.52,Rainforests
AFT08J3S,3003,Primary,433.31,1217.89,16.86,Rainforests
CPE01J8S,3003,Primary,723.37,1258.11,15.83,Rainforests
HGR05J8M,3003,Primary,385.81,1234.28,16.8,Rainforests
LNK01B3L,3003,Primary,137.15,1253.31,18.38,Rainforests
LNK02B5F,3003,Primary,150.23,1277.68,18.35,Rainforests
LNK03B3L,3003,Primary,142.53,1357.42,17.97,Rainforests
MLI03J1L,3003,Primary,485.96,1145.96,16.33,Rainforests
MLI16J3M,3003,Primary,602.68,1175.7,16.06,Rainforests
MLI17J7M,3003,Primary,626.49,1233.79,15.76,Rainforests
WDN10J2L,3003,Primary,579.51,1219.49,15.59,Rainforests
WDN11J7S,3003,Primary,736.06,1314.67,15.04,Rainforests
WDN15J4L,3003,Primary,521.92,1114.35,16.49,Rainforests
TBHSTRF2,3004,Secondary,19.36,1789.47,19.51,Rainforests
BRU40CBR,3004,Primary,4.57,1805.93,19.47,Rainforests
BRU43VBR,3004,Secondary,3.92,1803.06,19.48,Rainforests
EMP02ALB,3004,Primary,3.29,1651.49,19.25,Rainforests
TWE02CBD,3004,Primary,5.14,1729.62,19.74,Rainforests
TWE03CBD,3004,Primary,6.41,1730.75,19.74,Rainforests
TWE15LSR,3004,Primary,18.81,1710.23,19.62,Rainforests
TWE17ALB,3004,Primary,14.11,1708.78,19.63,Rainforests
CMS_101P1,3004,Secondary,8.29,1773.11,19.32,Rainforests
CMS_98P1,3004,Secondary,7.71,1743.01,19.13,Rainforests
CDG01D2L,3004,Primary,26.99,1818,19.43,Rainforests
MBH06A7F,3004,Primary,9.97,1749.03,19.5,Rainforests
MBH18A7F,3004,Secondary,6.92,1764.94,19.34,Rainforests
BYR68A7F,3004,Secondary,7.76,1752.89,19.48,Rainforests
BYR69A7F,3004,Primary,7.59,1752.91,19.48,Rainforests
BYR76A7F,3004,Primary,6.65,1820.82,19.37,Rainforests
BYR77A7F,3004,Primary,6.62,1826.99,19.34,Rainforests
TWD03A7F,3004,Primary,1.85,1748.55,19.47,Rainforests
TWD04A7F,3004,Primary,13.14,1735.66,19.58,Rainforests
TWH02A7F,3004,Primary,11.17,1750.86,19.53,Rainforests
BrokenHead37,3004,Primary,38.35,1801.23,19.43,Rainforests
TWEED24,3004,Primary,11.58,1916.65,19.02,Rainforests
TWEED37,3004,Primary,6,1845.11,19.24,Rainforests
TWEED39,3004,Secondary,5.17,1742.8,19.66,Rainforests
TWEED54,3004,Secondary,10.76,1782.15,19.51,Rainforests
AC16_29_4,3005,Primary,2.91,1573.94,19.21,Rainforests
BRU17CBB,3005,Primary,16.09,1877,19.19,Rainforests
WAR11UN,3005,Primary,5.65,1563.58,19.18,Rainforests
NRAC772,3005,Primary,0,1632.19,19.25,Rainforests
MBH01A7F,3006,Primary,6.4,1750.69,19.48,Rainforests
MBH02A7F,3006,Primary,1,1750.13,19.49,Rainforests
MBH03A7F,3006,Primary,1,1749.82,19.49,Rainforests
MBH04A7F,3006,Primary,10.7,1748.56,19.5,Rainforests
MBH07A1F,3006,Primary,7.99,1749.57,19.49,Rainforests
LSM16A7V,3007,Primary,7.23,1349.13,19.12,Rainforests
CSO13A7V,3007,Primary,25.68,1175.43,18.97,Rainforests
GRV05A7F,3007,Primary,105.39,1169.51,18.36,Rainforests
GRV06A7F,3007,Primary,111.01,1180.62,18.29,Rainforests
GRV07A7F,3007,Primary,104.39,1175.42,18.32,Rainforests
MBH33A7F,3007,Primary,5.46,1757.44,19.18,Rainforests
TTH03A6V,3007,Primary,23.02,1060.5,18.94,Rainforests
NCPP0182,3007,Secondary,106.13,1203.37,17.9,Rainforests
SP_Plot_E,3007,Primary,31.33,1274.82,19,Rainforests
TLRFCBS1,3008,Primary,0,1812.01,19.46,Rainforests
TWE27VBT,3008,Primary,1.95,1770.01,19.57,Rainforests
TWE28CBD,3008,Primary,0,1710.17,19.86,Rainforests
BLM02B3M,3009,Primary,223.1,2000.17,17.17,Rainforests
BLM05B3B,3009,Primary,596.61,1883.9,16.93,Rainforests
BUI01B1V,3009,Primary,495.63,2181.32,16.19,Rainforests
BUI02B8V,3009,Primary,462.87,2208.73,16.09,Rainforests
HNB01R1L,3009,Primary,251.23,2156.98,17.62,Rainforests
HNB03B2F,3009,Primary,212.32,2295.51,17.25,Rainforests
HNB04B7F,3009,Primary,165.48,2223.96,17.48,Rainforests
HNB09B5F,3009,Primary,205.31,1961.47,18.01,Rainforests
HNB10B5F,3009,Primary,206.99,1994.29,17.92,Rainforests
HNB11B4F,3009,Primary,203.07,2067.29,17.69,Rainforests
HNB12B5F,3009,Primary,198.5,2056.62,17.73,Rainforests
HNB13B5L,3009,Primary,252.11,2108.86,17.77,Rainforests
HNB14B4F,3009,Primary,240.64,2037.03,17.94,Rainforests
MBH16B2F,3009,Primary,212.99,2002.96,18.29,Rainforests
HNB53B3L,3009,Primary,179.84,2378.05,16.92,Rainforests
HNB55R7M,3009,Primary,220.14,2256.04,17.85,Rainforests
NCT103-2,3009,Secondary,396.98,2135.23,18.21,Rainforests
NCT107-5,3009,Primary,110.33,1849.07,18.27,Rainforests
NRAC201,3009,Primary,635.28,2282.68,15.82,Rainforests
NRAC202,3009,Secondary,627.09,2196.36,16.17,Rainforests
NRAC205,3009,Secondary,385.19,2086.05,17.22,Rainforests
WAR41VBG,3010,Primary,27.41,1443.79,18.92,Rainforests
WAR42HSR,3010,Primary,26.66,1424.17,19.09,Rainforests
WRD10J2L,3010,Primary,12.99,1447.33,19.11,Rainforests
WRD11J1L,3010,Primary,17.4,1447.9,19.1,Rainforests
WRD12J3M,3010,Secondary,33.62,1463.68,18.8,Rainforests
WRD13J1M,3010,Primary,15.55,1446.88,19.04,Rainforests
NCPP0016,3010,Primary,39.17,1414,19.12,Rainforests
TBHSTRF1,3011,Primary,18.75,1790.05,19.51,Rainforests
TBHSTRF3,3011,Primary,23.58,1789.75,19.5,Rainforests
BIL05VBR,3011,Primary,169.02,2019.12,18.34,Rainforests
BIL06VBR,3011,Secondary,112.9,1931.75,18.95,Rainforests
BRU05ALT,3011,Primary,27.01,1835.77,19.3,Rainforests
BUR04LSR,3011,Primary,59.28,1798.17,19.14,Rainforests
MUR05LSR,3011,Primary,154.74,2054.75,18.34,Rainforests
MUR13LSR,3011,Secondary,11.36,1835.97,19.29,Rainforests
MUR17LSR,3011,Primary,49.5,2068.74,18.51,Rainforests
POT24ALF,3011,Secondary,48.08,1881.6,19.16,Rainforests
TWE16LSR,3011,Primary,13.71,1709.88,19.61,Rainforests
CHRMUR03,3011,Primary,329.44,2209.35,17.07,Rainforests
CHRMUR09,3011,Primary,213.64,2190.05,17.78,Rainforests
NCMOO003,3011,Primary,62.39,1892.91,18.93,Rainforests
BLM03B3L,3011,Primary,218.42,2021.51,17.29,Rainforests
BRC57B6U,3011,Primary,549.45,1963.45,16.75,Rainforests
BRC58B5S,3011,Primary,536.47,1961.29,16.75,Rainforests
BRC59B5S,3011,Primary,507.62,1958.33,16.77,Rainforests
BUI03B8M,3011,Primary,599.42,2259.92,15.84,Rainforests
BUI04B8M,3011,Primary,540.35,2161.86,16.28,Rainforests
BUI26J4L,3011,Primary,368.51,2347.76,17.33,Rainforests
BWK02D8F,3011,Primary,23.75,1871.25,19.19,Rainforests
BWK04D2L,3011,Primary,21.24,1789.84,19.51,Rainforests
BWK05D1L,3011,Primary,20.75,1789.55,19.51,Rainforests
CDG02D1L,3011,Secondary,26.01,1808.26,19.46,Rainforests
DNN09B2L,3011,Primary,204.21,1869.83,17.84,Rainforests
MBH05D8V,3011,Primary,140.21,2021.43,18.55,Rainforests
MBH11D7U,3011,Primary,134.36,2015.1,18.59,Rainforests
MBH15A5F,3011,Primary,34.58,1607.41,18.83,Rainforests
MBH17D7M,3011,Primary,136.25,2020.83,18.56,Rainforests
BLM06B6L,3011,Primary,27.51,1841.1,19.16,Rainforests
BUI10D2M,3011,Primary,144.88,1896.85,18.82,Rainforests
BUI12M3M,3011,Primary,235.25,2018.64,18.56,Rainforests
BUI17R3M,3011,Primary,160.27,1970.9,18.6,Rainforests
BYR52B5M,3011,Primary,46.64,1858,19.07,Rainforests
HNB24R8M,3011,Primary,256.68,1845.66,17.7,Rainforests
MBH25D1M,3011,Primary,243.09,1850.33,18.36,Rainforests
MBH32A6V,3011,Primary,36.51,1762.46,18.52,Rainforests
BrokenHead23,3011,Secondary,21.88,1814.59,19.39,Rainforests
BrokenHead25,3011,Primary,42.96,1820.21,19.35,Rainforests
BrokenHead26,3011,Primary,47.51,1821.39,19.34,Rainforests
NCT107-2,3011,Secondary,121.95,1751.62,18.35,Rainforests
NCT65-2,3011,Secondary,230.21,2207.07,17.97,Rainforests
NCT98-1,3011,Secondary,115.81,1991.85,18.75,Rainforests
NRAC204,3011,Secondary,453.05,2109.44,16.76,Rainforests
NRAC249,3011,Primary,323.03,2351.04,17.71,Rainforests
NRAC250,3011,Primary,208.59,1896.97,18.76,Rainforests
NRAC251,3011,Primary,37.8,1827.03,19.31,Rainforests
NRAC252,3011,Primary,72.75,1814.69,19.37,Rainforests
NRAC254,3011,Secondary,58.03,1810.29,19.41,Rainforests
NRAC740,3011,Primary,164.85,2345.09,17.13,Rainforests
BWK07A8V,3012,Primary,12.89,1857.13,19.2,Rainforests
DROM016,3013,Secondary,118.05,1045.77,14.16,Rainforests
DROM050,3013,Secondary,208.62,1093.31,13.66,Rainforests
DROM051,3013,Secondary,157.32,1075.6,13.85,Rainforests
DROM052,3013,Secondary,134.79,1032.33,14.31,Rainforests
KIM002,3013,Primary,35,1279.05,16.74,Rainforests
STGS19,3013,Primary,217.88,1527.42,15.1,Rainforests
FXGBRY05,3013,Primary,100.64,1366.07,16.74,Rainforests
AVN01T1M,3013,Primary,211.08,1443.79,15.56,Rainforests
AVN05T8M,3013,Primary,216.22,1455.21,15.47,Rainforests
BLL27T2G,3013,Primary,202.72,1442.75,15.63,Rainforests
RBR07S3V,3013,Primary,146.83,1292.56,16.15,Rainforests
RBR15T1M,3013,Primary,290.69,1533.92,15.23,Rainforests
WLL23T8M,3013,Primary,300.54,1679.1,14.3,Rainforests
WLL43T2M,3013,Primary,127.96,1301.13,16.16,Rainforests
WLL47T3M,3013,Primary,233.63,1402.73,15.94,Rainforests
WLL87I3M,3013,Primary,320.4,1530.24,15.48,Rainforests
WLL89I2M,3013,Primary,302.48,1496.23,15.42,Rainforests
KIM06B3L,3013,Primary,84.55,1486.9,16.36,Rainforests
KNV03T7L,3013,Primary,184.82,1770.05,15.58,Rainforests
KNV04M1L,3013,Primary,122.66,1517.59,16.13,Rainforests
